location,bhk,price,sq_feet,latitude,longitude,bhk_num,price_per_sqft
Mapusa,Office Space,100000,77.0,15.590853,73.8102146,0.0,1298.7012987012988
Taleigao,2 BHK,10000000,11905.0,15.4702665,73.8225674,2.0,839.9832003359933
Calangute,2 BHK,10000000,12500.0,15.545594,73.7646182,2.0,800.0
Tuem,Land,10000000,2714.0,15.6665677,73.795665,0.0,3684.598378776713
Bainguinim,2 BHK,10000000,7492.0,15.5003488,73.9022881,2.0,1334.7570742124933
Arpora,1 BHK,10000000,13333.0,15.5630974,73.7640368,1.0,750.0187504687617
Mapusa,1 BHK,10000000,11806.0,15.590853,73.8102146,1.0,847.0269354565476
Porvorim,2 BHK,10000000,7943.0,15.5251795,73.8282988,2.0,1258.9701624071508
Siolim,1 BHK,10000000,15408.0,15.6270222,73.7656851,1.0,649.0134994807892
Taleigao,Warehouse,100000,31.0,15.4702665,73.8225674,0.0,3225.8064516129034
Mopa,Land,10000000,4274.0,15.757828,73.8557746,0.0,2339.728591483388
Majorda,4 BHK,10000000,5102.0,15.3132484,73.9103868,4.0,1960.015680125441
Kadamba Plateau,2 BHK,10000000,8368.0,15.4893121,73.8911462,2.0,1195.0286806883364
Margao,3 BHK,10000000,5955.0,15.272923,73.9583159,3.0,1679.2611251049539
Ponda,4 BHK,10000000,5235.0,15.3979351,74.0079788,4.0,1910.2196752626553
Povorim,3 BHK,10000000,6407.0,,,3.0,1560.7928827844546
Divar Island,Land,10000000,1858.0,15.5250877,73.9078163,0.0,5382.1313240043055
Porvorim,2 BHK,10000000,9290.0,15.5251795,73.8282988,2.0,1076.4262648008612
Raia,3 BHK,10000000,7485.0,15.31364,73.9840684,3.0,1336.005344021376
Kadamba Plateau,2 BHK,10000000,7432.0,15.4893121,73.8911462,2.0,1345.5328310010764
Polem,Land,10000000,774.0,14.9113642,74.08733,0.0,12919.896640826873
Aquem,2 BHK,10000000,7940.0,15.2722287,73.9700286,2.0,1259.4458438287154
Mapusa,Office Space,10000000,8224.0,15.590853,73.8102146,0.0,1215.953307392996
