Location,BHK,price,sq_feet,latitude,longitude
Mapusa,Office Space,100000,77,15.590853,73.8102146
Taleigao,2 BHK,10000000,11905,15.4702665,73.8225674
Calangute,2 BHK,10000000,12500,15.545594,73.7646182
Tuem,Land,10000000,2714,15.6665677,73.795665
Bainguinim,2 BHK,10000000,7492,15.5003488,73.9022881
Arpora,1 BHK,10000000,13333,15.5630974,73.7640368
Ponda,Land,100000,0,15.3979351,74.0079788
Mapusa,1 BHK,10000000,11806,15.590853,73.8102146
Porvorim,2 BHK,10000000,7943,15.5251795,73.8282988
Siolim,1 BHK,10000000,15408,15.6270222,73.7656851
Taleigao,Warehouse,100000,31,15.4702665,73.8225674
Mopa,Land,10000000,4274,15.757828,73.8557746
Majorda,4 BHK,10000000,5102,15.3132484,73.9103868
Kadamba Plateau,2 BHK,10000000,8368,15.4893121,73.8911462
Margao,3 BHK,10000000,5955,15.272923,73.9583159
Ponda,4 BHK,10000000,5235,15.3979351,74.0079788
Povorim,3 BHK,10000000,6407,null,null
Divar Island,Land,10000000,1858,15.5250877,73.9078163
Porvorim,2 BHK,10000000,9290,15.5251795,73.8282988
Raia,3 BHK,10000000,7485,15.31364,73.9840684
Kadamba Plateau,2 BHK,10000000,7432,15.4893121,73.8911462
Polem,Land,10000000,774,14.9113642,74.08733
Aquem,2 BHK,10000000,7940,15.2722287,73.9700286
Mapusa,Office Space,10000000,8224,15.590853,73.8102146
Cuncolim,Land,10000000,2322,15.1801323,73.9978596
Caranzalem,2 BHK,10000000,10098,15.4677228,73.8079977
Ponda,3 BHK,10000000,7807,15.3979351,74.0079788
Ponda,3 BHK,10000000,7807,15.3979351,74.0079788
Camurlim,Land,10000000,953,15.6446615,73.8018179
Panjim,Office Space,10000000,11765,15.4989946,73.8282141
Kadamba Plateau,2 BHK,10000000,15055,15.4893121,73.8911462
Arpora,1 BHK,10100000,20001,15.5630974,73.7640368
Sancoale,2 BHK,10100000,7932,15.3886307,73.8893336
Bogmalo,Land,10200000,2448,15.3696321,73.8359166
Porvorim,1 BHK,10300000,16000,15.5251795,73.8282988
Curtorim,Land,10300000,511,15.289893,74.0221562
Raia,3 BHK,10300000,4924,15.31364,73.9840684
Porvorim,2 BHK,10300000,8707,15.5251795,73.8282988
Porvorim,2 BHK,10300000,9120,15.5251795,73.8282988
Merces,3 BHK,10300000,7103,15.4828297,73.8538551
Sancoale,2 BHK,10300000,8620,15.3886307,73.8893336
Verna,4 BHK,10300000,5729,15.3510255,73.9303722
Margao,3 BHK,10400000,6193,15.272923,73.9583159
Dabolim,2 BHK,10400000,9270,15.3896948,73.8528925
Curca,Land,10400000,4444,15.4608194,73.8778694
Dabolim,2 BHK,10400000,9270,15.3896948,73.8528925
Bambolim,Land,10500000,3723,15.4549212,73.8464479
Assolna,Land,10500000,557,15.1801582,73.9713569
Siolim,1 BHK,10500000,12353,15.6270222,73.7656851
Caranzalem,2 BHK,10500000,8868,15.4677228,73.8079977
Bambolim,Land,10500000,3723,15.4549212,73.8464479
Calangute,1 BHK,10500000,13378,15.545594,73.7646182
Dabolim,2 BHK,10500000,8444,15.3896948,73.8528925
Siolim,1 BHK,10500000,15195,15.6270222,73.7656851
Siolim,1 BHK,10500000,19091,15.6270222,73.7656851
Siolim,1 BHK,10500000,13359,15.6270222,73.7656851
Panjim,Office Space,10500000,11667,15.4989946,73.8282141
Porvorim,2 BHK,10500000,13575,15.5251795,73.8282988
Porvorim,2 BHK,10500000,9123,15.5251795,73.8282988
Porvorim,2 BHK,10500000,9123,15.5251795,73.8282988
Siolim,1 BHK,10500000,15000,15.6270222,73.7656851
Panaji,2 BHK,10500000,11551,15.4989946,73.8282141
Taleigao,2 BHK,10500000,8197,15.4702665,73.8225674
Karaswada,2 BHK,10500000,6131,15.6104102,73.8266444
Porvorim,2 BHK,10700000,13575,15.5251795,73.8282988
Caranzalem,2 BHK,10800000,9290,15.4677228,73.8079977
Vasco,3 BHK,10800000,9465,15.398403,73.8129178
Siolim,1 BHK,10800000,17419,15.6270222,73.7656851
Bainguinim,2 BHK,10800000,10588,15.5003488,73.9022881
Mapusa,3 BHK,10800000,7838,15.590853,73.8102146
Kadamba Plateau,Land,10900000,3716,15.4893121,73.8911462
Porvorim,2 BHK,10900000,10200,15.5251795,73.8282988
Porvorim,1 BHK,10900000,18137,15.5251795,73.8282988
Bicholim,2 BHK,10900000,10093,15.5557695,73.977291
Reis Magos,1 BHK,11000000,20000,15.4966011,73.8095534
Panjim,Office Space,11000000,11224,15.4989946,73.8282141
Porvorim,4 BHK,11000000,6571,15.5251795,73.8282988
Cunchelim,2 BHK,11000000,4645,15.6160163,73.8165524
Arpora,2 BHK,11000000,12022,15.5630974,73.7640368
Dabolim,2 BHK,11000000,8594,15.3896948,73.8528925
Dona Paula,2 BHK,11000000,9921,15.4581997,73.8038671
Porvorim,2 BHK,11000000,10358,15.5251795,73.8282988
Nagoa,1 BHK,11000000,12731,15.5545419,73.779931
Corlim,2 BHK,11000000,6231,15.4948124,73.9465928
Vasco,3 BHK,11000000,9649,15.398403,73.8129178
Verla,3 BHK,11000000,4645,15.5869941,73.7829566
Vasco,2 BHK,11000000,9167,15.398403,73.8129178
