location,bhk,price,sq_feet,latitude,longitude,bhk_num
Sancoale,3 BHK,42500000,11486.0,15.3886307,73.8893336,3.0
Vagator,3 BHK,62500000,25699.0,15.5985735,73.7408126,3.0
Margao,5 BHK,20000000,11261.0,15.272923,73.9583159,5.0
Candolim,2 BHK,17500000,14287.0,15.5201532,73.7659422,2.0
Vagator,Land,220000000,11354.0,15.5985735,73.7408126,0.0
Mapsa,2 BHK,6000000,5574.0,,,2.0
Siolim,2 BHK,21000000,17270.0,15.6270222,73.7656851,2.0
Assagao,4 BHK,140000000,29830.0,15.5981002,73.7721529,4.0
Aldona,Land,23200000,5095.0,15.5896313,73.8710503,0.0
Panjim,2 BHK,11100000,10412.0,15.4989946,73.8282141,2.0
Dona Paula,4 BHK,50000000,11671.0,15.4581997,73.8038671,4.0
Margao,2 BHK,6500000,9294.0,15.272923,73.9583159,2.0
Siolim,3 BHK,52700000,18545.0,15.6270222,73.7656851,3.0
Torse,Land,63000000,1672.0,15.7760445,73.8473296,0.0
Fatorda,3 BHK,13000000,9740.0,15.2981753,73.9715379,3.0
Cansaulim,Land,7600000,1207.0,15.3449171,73.8975655,0.0
Panjim,Office Space,10500000,11667.0,15.4989946,73.8282141,0.0
Kadamba Plateau,Land,9000000,2787.0,15.4893121,73.8911462,0.0
Dona Paula,2 BHK,25000000,14425.0,15.4581997,73.8038671,2.0
Porvorim,1 BHK,3500000,6503.0,15.5251795,73.8282988,1.0
Sancoale,1 BHK,2500000,4579.0,15.3886307,73.8893336,1.0
Porvorim,1 BHK,8000000,12500.0,15.5251795,73.8282988,1.0
Mormugao,1 BHK,4700000,5875.0,15.4102428,73.7936048,1.0
Candolim,Industrial Building,450000000,1900.0,15.5201532,73.7659422,0.0
Sanguem,Land,120000000,186.0,15.2282657,74.1512667,0.0
Assagao,5 BHK,145000000,11600.0,15.5981002,73.7721529,5.0
Kundaim,2 BHK,5400000,5284.0,15.4597358,73.961307,2.0
Porvorim,Land,150000000,5075.0,15.5251795,73.8282988,0.0
Porvorim,3 BHK,17500000,11060.0,15.5251795,73.8282988,3.0
Nuvem,3 BHK,22500000,6369.0,15.308184,73.9480748,3.0
Raia,4 BHK,22000000,8175.0,15.31364,73.9840684,4.0
Kadamba Plateau,2 BHK,7000000,6195.0,15.4893121,73.8911462,2.0
Vagator,3 BHK,75000000,24038.0,15.5985735,73.7408126,3.0
Velha,3 BHK,11700000,6500.0,15.5023329,73.9117432,3.0
Navelim,2 BHK,6000000,5309.0,15.2565946,73.9664212,2.0
Reis Magos,3 BHK,24000000,12741.0,15.4966011,73.8095534,3.0
Khandola,1 BHK,3700000,6250.0,15.5232252,73.9572591,1.0
Miramar,3 BHK,92500000,34650.0,15.4827569,73.8093495,3.0
Bainguinim,2 BHK,12500000,9841.0,15.5003488,73.9022881,2.0
Calangute,1 BHK,11000000,31429.0,15.545594,73.7646182,1.0
